State,District,Name,Party,Birthdate,Age
Alaska,AK-AL,Mary Peltola,D,8/31/73,50
Alabama,AL-01,Jerry Carl,R,6/17/58,65
Alabama,AL-02,Barry Moore,R,9/26/66,57
Alabama,AL-03,Mike D. Rogers,R,7/16/58,65
Alabama,AL-04,Robert B. Aderholt,R,7/22/65,58
Alabama,AL-05,Dale Strong,R,5/8/70,53
Alabama,AL-06,Gary Palmer,R,5/14/54,69
Alabama,AL-07,Terri A. Sewell,D,1/1/65,59
Arkansas,AR-01,Eric Crawford,R,1/22/66,58
Arkansas,AR-02,French Hill,R,12/5/56,67
Arkansas,AR-03,Steve Womack,R,2/18/57,67
Arkansas,AR-04,Bruce Westerman,R,11/18/67,56
American Samoa,AS-AL,Aumua Amata Radewagen,R,12/29/47,76
Arizona,AZ-01,David Schweikert,R,3/3/62,62
Arizona,AZ-02,Elijah Crane,R,1/3/80,44
Arizona,AZ-03,Ruben Gallego,D,11/20/79,44
Arizona,AZ-04,Greg Stanton,D,3/8/70,54
Arizona,AZ-05,Andy Biggs,R,11/7/58,65
Arizona,AZ-06,Juan Ciscomani,R,8/31/82,41
Arizona,AZ-07,Raul M. Grijalva,D,2/19/48,76
Arizona,AZ-08,Debbie Lesko,R,11/14/58,65
Arizona,AZ-09,Paul Gosar,R,11/27/58,65
California,CA-01,Doug LaMalfa,R,7/2/60,63
California,CA-02,Jared Huffman,D,2/18/64,60
California,CA-03,Kevin Kiley,R,1/30/85,39
California,CA-04,Mike Thompson,D,1/24/51,73
California,CA-05,Tom McClintock,R,7/10/56,67
California,CA-06,Ami Bera,D,3/2/65,59
California,CA-07,Doris Matsui,D,9/25/44,79
California,CA-08,John Garamendi,D,1/24/45,79
California,CA-09,Josh Harder,D,8/1/86,37
California,CA-10,Mark DeSaulnier,D,3/31/52,71
California,CA-11,Nancy Pelosi,D,3/26/40,84
California,CA-12,Barbara Lee,D,7/16/46,77
California,CA-13,John Duarte,R,9/9/66,57
California,CA-14,Eric Swalwell,D,11/16/80,43
California,CA-15,Kevin Mullin,D,6/15/70,53
California,CA-16,Anna G. Eshoo,D,12/13/42,81
California,CA-17,Ro Khanna,D,9/13/76,47
California,CA-18,Zoe Lofgren,D,12/21/47,76
California,CA-19,Jimmy Panetta,D,10/1/69,54
California,CA-20,Kevin McCarthy,R,1/26/65,59
California,CA-21,Jim Costa,D,4/13/52,71
California,CA-22,David Valadao,R,4/14/77,46
California,CA-23,Jay Obernolte,R,8/18/70,53
California,CA-24,Salud Carbajal,D,11/18/64,59
California,CA-25,Raul Ruiz,D,8/25/72,51
California,CA-26,Julia Brownley,D,8/28/52,71
California,CA-27,Mike Garcia,R,4/24/76,47
California,CA-28,Judy Chu,D,7/7/53,70
California,CA-29,Tony Cardenas,D,3/31/63,60
California,CA-30,Adam B. Schiff,D,6/22/60,63
California,CA-31,Grace F. Napolitano,D,12/4/36,87
California,CA-32,Brad Sherman,D,10/24/54,69
California,CA-33,Pete Aguilar,D,6/19/79,44
California,CA-34,Jimmy Gomez,D,11/25/74,49
California,CA-35,Norma J. Torres,D,4/23/65,58
California,CA-36,Ted Lieu,D,3/29/69,54
California,CA-37,Sydney Kamlager,D,7/20/72,51
California,CA-38,Linda T. Sanchez,D,1/28/69,55
California,CA-39,Mark Takano,D,12/10/60,63
California,CA-40,Young Kim,R,10/18/62,61
California,CA-41,Ken Calvert,R,6/8/53,70
California,CA-42,Robert Garcia,D,12/2/77,46
California,CA-43,Maxine Waters,D,8/15/38,85
California,CA-44,Nanette Barragan,D,9/15/76,47
California,CA-45,Michelle Steel,R,6/21/55,68
California,CA-46,Lou Correa,D,1/24/58,66
California,CA-47,Katie Porter,D,1/3/74,50
California,CA-48,Darrell Issa,R,11/1/53,70
California,CA-49,Mike Levin,D,10/20/78,45
California,CA-50,Scott Peters,D,6/17/58,65
California,CA-51,Sara Jacobs,D,2/1/89,35
California,CA-52,Juan C. Vargas,D,3/7/61,63
Colorado,CO-01,Diana DeGette,D,7/29/57,66
Colorado,CO-02,Joe Neguse,D,5/13/84,39
Colorado,CO-03,Lauren Boebert,R,12/19/86,37
Colorado,CO-04,Ken Buck,R,2/16/59,65
Colorado,CO-05,Doug Lamborn,R,5/24/54,69
Colorado,CO-06,Jason Crow,D,3/15/79,45
Colorado,CO-07,Brittany Pettersen,D,12/6/81,42
Colorado,CO-08,Yadira Caraveo,D,12/23/80,43
Connecticut,CT-01,John B. Larson,D,7/22/48,75
Connecticut,CT-02,Joe Courtney,D,4/6/53,70
Connecticut,CT-03,Rosa DeLauro,D,3/2/43,81
Connecticut,CT-04,James Himes,D,7/5/66,57
Connecticut,CT-05,Jahana Hayes,D,3/8/73,51
District of Columbia,DC-AL,Eleanor Norton,D,6/13/37,86
Delaware,DE-AL,Lisa Blunt Rochester,D,2/10/62,62
Flordia,FL-01,Matt Gaetz,R,5/7/82,41
Flordia,FL-02,Neal Dunn,R,2/16/53,71
Flordia,FL-03,Kat Cammack,R,2/16/88,36
Flordia,FL-04,Aaron Bean,R,1/25/67,57
Flordia,FL-05,John Rutherford,R,9/2/52,71
Flordia,FL-06,Michael Waltz,R,1/31/74,50
Flordia,FL-07,Cory Mills,R,7/13/80,43
Flordia,FL-08,Bill Posey,R,12/18/47,76
Flordia,FL-09,Darren Soto,D,2/25/78,46
Flordia,FL-10,Maxwell Frost,D,1/17/97,27
Flordia,FL-11,Daniel Webster,R,4/27/49,74
Flordia,FL-12,Gus Bilirakis,R,2/8/63,61
Flordia,FL-13,Anna Paulina Luna,R,5/6/89,34
Flordia,FL-14,Kathy Castor,D,8/20/66,57
Flordia,FL-15,Laurel Lee,R,3/26/74,50
Flordia,FL-16,Vern Buchanan,R,5/8/51,72
Flordia,FL-17,Greg Steube,R,5/19/78,45
Flordia,FL-18,Scott Franklin,R,8/23/64,59
Flordia,FL-19,Byron Donalds,R,10/28/78,45
Flordia,FL-20,Sheila Cherfilus-McCormick,D,1/25/79,45
Flordia,FL-21,Brian Mast,R,7/10/80,43
Flordia,FL-22,Lois Frankel,D,5/16/48,75
Flordia,FL-23,Jared Moskowitz,D,12/18/80,43
Flordia,FL-24,Frederica S. Wilson,D,11/5/42,81
Flordia,FL-25,Debbie Wasserman Schultz,D,9/27/66,57
Flordia,FL-26,Mario Diaz-Balart,R,9/25/61,62
Flordia,FL-27,Maria Salazar,R,11/1/61,62
Flordia,FL-28,Carlos Gimenez,R,1/17/54,70
Georgia,GA-01,"Earl L. ""Buddy"" Carter",R,9/6/57,66
Georgia,GA-02,Sanford D. Bishop Jr.,D,2/4/47,77
Georgia,GA-03,Drew Ferguson,R,11/15/66,57
Georgia,GA-04,Henry Johnson,D,10/2/54,69
Georgia,GA-05,Nikema Williams,D,7/30/78,45
Georgia,GA-06,Richard McCormick,R,10/7/68,55
Georgia,GA-07,Lucy McBath,D,6/1/60,63
Georgia,GA-08,Austin Scott,R,12/10/69,54
Georgia,GA-09,Andrew Clyde,R,11/22/63,60
Georgia,GA-10,Mike Collins,R,7/2/67,56
Georgia,GA-11,Barry Loudermilk,R,12/22/63,60
Georgia,GA-12,Rick W. Allen,R,11/7/51,72
Georgia,GA-13,David Scott,D,6/27/45,78
Georgia,GA-14,Marjorie Greene,R,5/27/74,49
Guam,GU-AL,James C. Moylan,R,7/18/62,61
Hawaii,HI-01,Ed Case,D,9/27/52,71
Hawaii,HI-02,Jill N. Tokuda,D,3/3/76,48
Iowa,IA-01,Mariannette Miller-Meeks,R,9/6/55,68
Iowa,IA-02,Ashley Hinson,R,6/27/83,40
Iowa,IA-03,Zachary Nunn,R,5/4/79,44
Iowa,IA-04,Randy Feenstra,R,1/14/69,55
Idaho,ID-01,Russ Fulcher,R,3/9/62,62
Idaho,ID-02,Michael Simpson,R,9/8/50,73
Illinois,IL-01,Jonathan L. Jackson,D,1/7/66,58
Illinois,IL-02,Robin Kelly,D,4/30/56,67
Illinois,IL-03,Delia Ramirez,D,7/2/83,40
Illinois,IL-04,Jesus Garcia,D,4/12/56,67
Illinois,IL-05,Mike Quigley,D,10/17/58,65
Illinois,IL-06,Sean Casten,D,11/23/71,52
Illinois,IL-07,Danny K. Davis,D,9/6/41,82
Illinois,IL-08,Raja Krishnamoorthi,D,7/19/73,50
Illinois,IL-09,Janice Schakowsky,D,5/26/44,79
Illinois,IL-10,Bradley Schneider,D,8/20/61,62
Illinois,IL-11,Bill Foster,D,10/7/55,68
Illinois,IL-12,Mike Bost,R,12/30/60,63
Illinois,IL-13,Nikki Budzinski,D,3/11/77,47
Illinois,IL-14,Lauren Underwood,D,10/4/86,37
Illinois,IL-15,Mary Miller,R,8/7/59,64
Illinois,IL-16,Darin LaHood,R,7/5/68,55
Illinois,IL-17,Eric Sorensen,D,3/18/76,48
Indiana,IN-01,Frank J. Mrvan,D,4/16/69,54
Indiana,IN-02,Rudy Yakym III,R,2/24/84,40
Indiana,IN-03,Jim Banks,R,7/16/79,44
Indiana,IN-04,James Baird,R,6/4/45,78
Indiana,IN-05,Victoria Spartz,R,10/6/78,45
Indiana,IN-06,Greg Pence,R,11/14/56,67
Indiana,IN-07,Andre Carson,D,10/16/74,49
Indiana,IN-08,Larry Bucshon,R,5/31/62,61
Indiana,IN-09,Erin Houchin,R,9/24/76,47
Kansas,KS-01,Tracey Mann,R,12/17/76,47
Kansas,KS-02,Jake LaTurner,R,2/17/88,36
Kansas,KS-03,Sharice Davids,D,5/22/80,43
Kansas,KS-04,Ron Estes,R,7/19/56,67
Kentucky,KY-01,James R. Comer,R,8/19/72,51
Kentucky,KY-02,Brett Guthrie,R,2/18/64,60
Kentucky,KY-03,Morgan McGarvey,D,12/23/79,44
Kentucky,KY-04,Thomas Massie,R,1/13/71,53
Kentucky,KY-05,Harold Rogers,R,12/31/37,86
Kentucky,KY-06,Andy Barr,R,7/24/73,50
Louisiana,LA-01,Steve Scalise,R,10/6/65,58
Louisiana,LA-02,Troy Carter,D,10/26/63,60
Louisiana,LA-03,Clay Higgins,R,8/24/61,62
Louisiana,LA-04,Mike Johnson,R,1/30/72,52
Louisiana,LA-05,Julia Letlow,R,3/16/81,43
Louisiana,LA-06,Garret Graves,R,1/31/72,52
Massachusetts,MA-01,Richard E. Neal,D,2/14/49,75
Massachusetts,MA-02,James McGovern,D,11/20/59,64
Massachusetts,MA-03,Lori Trahan,D,10/27/73,50
Massachusetts,MA-04,Jake Auchincloss,D,1/29/88,36
Massachusetts,MA-05,Katherine M. Clark,D,7/17/63,60
Massachusetts,MA-06,Seth Moulton,D,10/24/78,45
Massachusetts,MA-07,Ayanna S. Pressley,D,2/3/74,50
Massachusetts,MA-08,Stephen F. Lynch,D,3/31/55,68
Massachusetts,MA-09,William Keating,D,9/6/52,71
Maryland,MD-01,Andy Harris,R,1/25/57,67
Maryland,MD-02,Dutch Ruppersberger,D,1/31/46,78
Maryland,MD-03,John Sarbanes,D,5/22/62,61
Maryland,MD-04,Glenn F. Ivey,D,2/27/61,63
Maryland,MD-05,Steny H. Hoyer,D,6/14/39,84
Maryland,MD-06,David Trone,D,9/21/55,68
Maryland,MD-07,Kweisi Mfume,D,10/24/48,75
Maryland,MD-08,Jamie Raskin,D,12/13/62,61
Maine,ME-01,Chellie Pingree,D,4/2/55,68
Maine,ME-02,Jared Golden,D,7/25/82,41
Michigan,MI-01,Jack Bergman,R,2/2/47,77
Michigan,MI-02,John Moolenaar,R,5/8/61,62
Michigan,MI-03,Hillary Scholten,D,2/22/82,42
Michigan,MI-04,Bill Huizenga,R,1/31/69,55
Michigan,MI-05,Tim Walberg,R,4/12/51,72
Michigan,MI-06,Debbie Dingell,D,11/23/53,70
Michigan,MI-07,Elissa Slotkin,D,7/10/76,47
Michigan,MI-08,Daniel Kildee,D,8/11/58,65
Michigan,MI-09,Lisa McClain,R,4/7/66,57
Michigan,MI-10,John James,R,6/8/81,42
Michigan,MI-11,Haley Stevens,D,6/24/83,40
Michigan,MI-12,Rashida Tlaib,D,7/24/76,47
Michigan,MI-13,Shri Thanedar,D,1/1/55,69
Minnesota,MN-01,Brad Finstad,R,5/30/76,47
Minnesota,MN-02,Angie Craig,D,2/14/72,52
Minnesota,MN-03,Dean Phillips,D,1/20/69,55
Minnesota,MN-04,Betty McCollum,D,7/12/54,69
Minnesota,MN-05,Ilhan Omar,D,10/4/82,41
Minnesota,MN-06,Tom Emmer,R,3/3/61,63
Minnesota,MN-07,Michelle Fischbach,R,11/3/65,58
Minnesota,MN-08,Pete Stauber,R,5/10/66,57
Missouri,MO-01,Cori Bush,D,7/21/76,47
Missouri,MO-02,Ann Wagner,R,9/13/62,61
Missouri,MO-03,Blaine Luetkemeyer,R,5/7/52,71
Missouri,MO-04,Mark Alford,R,10/4/63,60
Missouri,MO-05,Emanuel Cleaver II,D,10/26/44,79
Missouri,MO-06,Sam Graves,R,11/7/63,60
Missouri,MO-07,Eric Burlison,R,10/2/76,47
Missouri,MO-08,Jason Smith,R,6/16/80,43
Mississippi,MS-01,Trent Kelly,R,3/1/66,58
Mississippi,MS-02,Bennie Thompson,D,1/28/48,76
Mississippi,MS-03,Michael Guest,R,2/4/70,54
Mississippi,MS-04,Mike Ezell,R,4/6/59,64
Montana,MT-01,Ryan Zinke,R,11/1/61,62
Montana,MT-02,Matthew Rosendale,R,7/7/60,63
North Carolina,NC-01,Donald Davis,D,8/29/71,52
North Carolina,NC-02,Deborah K. Ross,D,6/20/63,60
North Carolina,NC-03,Gregory Murphy,R,3/5/63,61
North Carolina,NC-04,Valerie P. Foushee,D,5/7/56,67
North Carolina,NC-05,Virginia Foxx,R,6/29/43,80
North Carolina,NC-06,Kathy Manning,D,12/3/56,67
North Carolina,NC-07,David Rouzer,R,2/16/72,52
North Carolina,NC-08,Dan Bishop,R,7/1/64,59
North Carolina,NC-09,Richard Hudson,R,11/4/71,52
North Carolina,NC-10,Patrick T. McHenry,R,10/22/75,48
North Carolina,NC-11,Chuck Edwards,R,9/13/60,63
North Carolina,NC-12,Alma Adams,D,5/27/46,77
North Carolina,NC-13,Wiley Nickel,D,11/23/75,48
North Carolina,NC-14,Jeff Jackson,D,9/12/82,41
North Dakota,ND-AL,Kelly Armstrong,R,10/8/76,47
Nebraska,NE-01,Mike Flood,R,2/23/75,49
Nebraska,NE-02,Don Bacon,R,8/16/63,60
Nebraska,NE-03,Adrian Smith,R,12/19/70,53
New Hampshire,NH-01,Chris Pappas,D,6/4/80,43
New Hampshire,NH-02,Ann Kuster,D,9/5/56,67
New Jersey,NJ-01,Donald Norcross,D,12/13/58,65
New Jersey,NJ-02,Jefferson Van Drew,R,2/23/53,71
New Jersey,NJ-03,Andy Kim,D,7/12/82,41
New Jersey,NJ-04,Christopher H. Smith,R,3/4/53,71
New Jersey,NJ-05,Josh Gottheimer,D,3/8/75,49
New Jersey,NJ-06,Frank Pallone Jr.,D,10/30/51,72
New Jersey,NJ-07,Thomas H. Kean Jr.,R,9/5/68,55
New Jersey,NJ-08,Robert Menendez,D,7/12/85,38
New Jersey,NJ-09,Bill Pascrell Jr.,D,1/25/37,87
New Jersey,NJ-10,Donald M. Payne Jr.,D,12/17/58,65
New Jersey,NJ-11,Mikie Sherrill,D,1/19/72,52
New Jersey,NJ-12,Bonnie Watson Coleman,D,2/6/45,79
New Mexico ,NM-01,Melanie Stansbury,D,1/31/79,45
New Mexico ,NM-02,Gabe Vasquez,D,8/3/84,39
New Mexico ,NM-03,Teresa Leger Fernandez,D,7/1/59,64
Northern Mariana Islands,NM-AL,Gregorio Sablan,D,1/19/55,69
Nevada,NV-01,Dina Titus,D,5/23/50,73
Nevada,NV-02,Mark Amodei,R,6/12/58,65
Nevada,NV-03,Susie Lee,D,11/7/66,57
Nevada,NV-04,Steven Horsford,D,4/29/73,50
New York,NY-01,Nick LaLota,R,6/23/78,45
New York,NY-02,Andrew Garbarino,R,9/27/84,39
New York,NY-03,Thomas R. Suozzi,D,8/31/62,61
New York,NY-04,Anthony D'Esposito,R,2/22/82,42
New York,NY-05,Gregory W. Meeks,D,9/25/53,70
New York,NY-06,Grace Meng,D,10/1/75,48
New York,NY-07,Nydia M. Velazquez,D,3/28/53,70
New York,NY-08,Hakeem Jeffries,D,8/4/70,53
New York,NY-09,Yvette D. Clarke,D,11/21/64,59
New York,NY-10,Daniel Goldman,D,2/26/76,48
New York,NY-11,Nicole Malliotakis,R,11/11/80,43
New York,NY-12,Jerrold Nadler,D,6/13/47,76
New York,NY-13,Adriano Espaillat,D,9/27/54,69
New York,NY-14,Alexandria Ocasio-Cortez,D,10/13/89,34
New York,NY-15,Ritchie Torres,D,3/12/88,36
New York,NY-16,Jamaal Bowman,D,4/1/76,47
New York,NY-17,Michael Lawler,R,9/9/86,37
New York,NY-18,Patrick Ryan,D,3/28/82,41
New York,NY-19,Marcus Molinaro,R,10/8/75,48
New York,NY-20,Paul Tonko,D,6/18/49,74
New York,NY-21,Elise Stefanik,R,7/2/84,39
New York,NY-22,Brandon Williams,R,5/22/67,56
New York,NY-23,Nicholas Langworthy,R,2/27/81,43
New York,NY-24,Claudia Tenney,R,2/4/61,63
New York,NY-25,Joseph D. Morelle,D,4/29/57,66
New York,NY-26,Brian Higgins,D,10/6/59,64
Ohio,OH-01,Greg Landsman,D,12/4/76,47
Ohio,OH-02,Brad Wenstrup,R,6/17/58,65
Ohio,OH-03,Joyce Beatty,D,3/12/50,74
Ohio,OH-04,Jim Jordan,R,2/17/64,60
Ohio,OH-05,Robert Latta,R,4/18/56,67
Ohio,OH-06,Bill Johnson,R,11/10/54,69
Ohio,OH-07,Max Miller,R,11/13/88,35
Ohio,OH-08,Warren Davidson,R,3/1/70,54
Ohio,OH-09,Marcy Kaptur,D,6/17/46,77
Ohio,OH-10,Michael R. Turner,R,1/11/60,64
Ohio,OH-11,Shontel Brown,D,6/24/75,48
Ohio,OH-12,Troy Balderson,R,1/16/62,62
Ohio,OH-13,Emilia Sykes,D,1/4/86,38
Ohio,OH-14,David Joyce,R,3/17/57,67
Ohio,OH-15,Mike Carey,R,3/13/71,53
Oklahoma,OK-01,Kevin Hern,R,12/4/61,62
Oklahoma,OK-02,Josh Brecheen,R,6/19/79,44
Oklahoma,OK-03,Frank D. Lucas,R,1/6/60,64
Oklahoma,OK-04,Tom Cole,R,4/28/49,74
Oklahoma,OK-05,Stephanie Bice,R,11/11/73,50
Oregon,OR-01,Suzanne Bonamici,D,10/14/54,69
Oregon,OR-02,Cliff Bentz,R,1/12/52,72
Oregon,OR-03,Earl Blumenauer,D,8/16/48,75
Oregon,OR-04,Val Hoyle,D,2/14/64,60
Oregon,OR-05,Lori Chavez-DeRemer,R,4/7/68,55
Oregon,OR-06,Andrea Salinas,D,12/6/69,54
Pennsylvania,PA-01,Brian Fitzpatrick,R,12/17/73,50
Pennsylvania,PA-02,Brendan F. Boyle,D,2/6/77,47
Pennsylvania,PA-03,Dwight Evans,D,5/16/54,69
Pennsylvania,PA-04,Madeleine Dean,D,6/6/59,64
Pennsylvania,PA-05,Mary Scanlon,D,8/30/59,64
Pennsylvania,PA-06,Chrissy Houlahan,D,6/5/67,56
Pennsylvania,PA-07,Susan Wild,D,6/7/57,66
Pennsylvania,PA-08,Matt Cartwright,D,5/1/61,62
Pennsylvania,PA-09,Daniel Meuser,R,2/10/64,60
Pennsylvania,PA-10,Scott Perry,R,5/27/62,61
Pennsylvania,PA-11,Lloyd K. Smucker,R,1/23/64,60
Pennsylvania,PA-12,Summer Lee,D,11/26/87,36
Pennsylvania,PA-13,John Joyce,R,2/8/57,67
Pennsylvania,PA-14,Guy Reschenthaler,R,4/17/83,40
Pennsylvania,PA-15,Glenn Thompson,R,7/27/59,64
Pennsylvania,PA-16,Mike Kelly,R,5/10/48,75
Pennsylvania,PA-17,Christopher Deluzio,D,7/13/84,39
Puerto Rico,PR-AL,Jenniffer Gonzalez-Colon,R,8/5/76,47
Rhode Island,RI-01,Gabe Amo,D,12/11/87,36
Rhode Island,RI-02,Seth Magaziner,D,7/22/83,40
South Carolina,SC-01,Nancy Mace,R,12/4/77,46
South Carolina,SC-02,Joe Wilson,R,7/31/47,76
South Carolina,SC-03,Jeff Duncan,R,1/7/66,58
South Carolina,SC-04,William R. Timmons IV,R,4/30/84,39
South Carolina,SC-05,Ralph Norman,R,6/20/53,70
South Carolina,SC-06,James E. Clyburn,D,7/21/40,83
South Carolina,SC-07,Russell Fry,R,1/31/85,39
South Dakota,SD-AL,Dusty Johnson,R,9/30/76,47
Tennessee,TN-01,Diana Harshbarger,R,1/1/60,64
Tennessee,TN-02,Tim Burchett,R,8/25/64,59
Tennessee,TN-03,Charles Fleischmann,R,10/11/62,61
Tennessee,TN-04,Scott DesJarlais,R,2/21/64,60
Tennessee,TN-05,Andrew Ogles,R,6/18/71,52
Tennessee,TN-06,John W. Rose,R,2/23/65,59
Tennessee,TN-07,Mark E. Green,R,11/8/64,59
Tennessee,TN-08,David Kustoff,R,10/8/66,57
Tennessee,TN-09,Steve Cohen,D,5/24/49,74
Texas,TX-01,Nathaniel Moran,R,9/23/74,49
Texas,TX-02,Dan Crenshaw,R,3/14/84,40
Texas,TX-03,Keith Self,R,3/20/53,71
Texas,TX-04,Pat Fallon,R,12/19/67,56
Texas,TX-05,Lance Gooden,R,12/1/82,41
Texas,TX-06,Jake Ellzey,R,1/24/70,54
Texas,TX-07,Lizzie Fletcher,D,2/13/75,49
Texas,TX-08,Morgan Luttrell,R,11/7/75,48
Texas,TX-09,Al Green,D,9/1/47,76
Texas,TX-10,Michael McCaul,R,1/14/62,62
Texas,TX-11,August Pfluger,R,12/28/77,46
Texas,TX-12,Kay Granger,R,1/18/43,81
Texas,TX-13,Ronny Jackson,R,5/4/67,56
Texas,TX-14,Randy Weber,R,7/2/53,70
Texas,TX-15,Monica De La Cruz,R,11/11/74,49
Texas,TX-16,Veronica Escobar,D,9/15/69,54
Texas,TX-17,Pete Sessions,R,3/22/55,69
Texas,TX-18,Sheila Jackson Lee,D,1/12/50,74
Texas,TX-19,Jodey C. Arrington,R,3/9/72,52
Texas,TX-20,Joaquin Castro,D,9/16/74,49
Texas,TX-21,Chip Roy,R,8/7/72,51
Texas,TX-22,Troy Nehls,R,4/7/68,55
Texas,TX-23,Tony Gonzales,R,10/10/80,43
Texas,TX-24,Beth Van Duyne,R,11/16/70,53
Texas,TX-25,Roger Williams,R,9/13/49,74
Texas,TX-26,Michael C. Burgess,R,12/23/50,73
Texas,TX-27,Michael Cloud,R,5/13/75,48
Texas,TX-28,Henry Cuellar,D,9/19/55,68
Texas,TX-29,Sylvia R. Garcia,D,9/6/50,73
Texas,TX-30,Jasmine Crockett,D,3/29/81,42
Texas,TX-31,John Carter,R,11/6/41,82
Texas,TX-32,Colin Allred,D,4/15/83,40
Texas,TX-33,Marc Veasey,D,1/3/71,53
Texas,TX-34,Vicente Gonzalez,D,9/4/67,56
Texas,TX-35,Greg Casar,D,5/4/89,34
Texas,TX-36,Brian Babin,R,3/23/48,76
Texas,TX-37,Lloyd Doggett,D,10/6/46,77
Texas,TX-38,Wesley Hunt,R,11/13/81,42
Utah,UT-01,Blake D. Moore,R,6/22/80,43
Utah,UT-02,Celeste Maloy,R,5/22/81,42
Utah,UT-03,John Curtis,R,5/10/60,63
Utah,UT-04,Burgess Owens,R,8/2/51,72
Virginia,VA-01,Robert Wittman,R,2/3/59,65
Virginia,VA-02,Jennifer Kiggans,R,6/18/71,52
Virginia,VA-03,Robert C. Scott,D,4/30/47,76
Virginia,VA-04,Jennifer McClellan,D,12/28/72,51
Virginia,VA-05,Bob Good,R,9/11/65,58
Virginia,VA-06,Ben Cline,R,2/29/72,52
Virginia,VA-07,Abigail Spanberger,D,8/7/79,44
Virginia,VA-08,Donald S. Beyer Jr.,D,6/20/50,73
Virginia,VA-09,Morgan Griffith,R,3/15/58,66
Virginia,VA-10,Jennifer Wexton,D,5/27/68,55
Virginia,VA-11,Gerald E. Connolly,D,3/30/50,73
Virgin Islands,VI-AL,Stacey Plaskett,D,5/13/66,57
Vermont,VT-AL,Becca Balint,D,5/4/68,55
Washington,WA-01,Suzan DelBene,D,2/17/62,62
Washington,WA-02,Rick Larsen,D,6/15/65,58
Washington,WA-03,Marie Perez,D,6/4/88,35
Washington,WA-04,Dan Newhouse,R,7/10/55,68
Washington,WA-05,Cathy Rodgers,R,5/22/69,54
Washington,WA-06,Derek Kilmer,D,1/1/74,50
Washington,WA-07,Pramila Jayapal,D,9/21/65,58
Washington,WA-08,Kim Schrier,D,8/23/68,55
Washington,WA-09,Adam Smith,D,6/15/65,58
Washington,WA-10,Marilyn Strickland,D,9/25/62,61
Wisconsin,WI-01,Bryan Steil,R,3/3/81,43
Wisconsin,WI-02,Mark Pocan,D,8/14/64,59
Wisconsin,WI-03,Derrick Van Orden,R,9/15/69,54
Wisconsin,WI-04,Gwen Moore,D,4/18/51,72
Wisconsin,WI-05,Scott Fitzgerald,R,11/16/63,60
Wisconsin,WI-06,Glenn Grothman,R,7/3/55,68
Wisconsin,WI-07,Thomas Tiffany,R,12/30/57,66
Wisconsin,WI-08,Mike Gallagher,R,3/3/84,40
West Virginia,WV-01,Carol Miller,R,11/4/50,73
West Virginia,WV-02,Alexander Mooney,R,6/7/71,52
Wyoming,WY-AL,Harriet M. Hageman,R,10/18/62,61