State,Name,Party,Birthdate,Age
Alabama,Tommy Tuberville,R,9/18/54,69
Alabama,Katie Britt,R,2/2/82,42
Alaska,Lisa Murkowski,R,5/22/57,66
Alaska,Dan Sullivan,R,11/13/64,59
Arizona,Mark Kelly,D,2/21/64,60
Arizona,Kyrsten Sinema,I,7/12/76,47
Arkansas,John Boozman,R,12/10/50,73
Arkansas,Tom Cotton,R,5/13/77,46
California,Alex Padilla,D,3/22/73,51
California,Laphonza R. Butler ,D,5/11/79,44
Colorado,John Hickenlooper,D,2/7/52,72
Colorado,Michael Bennet,D,11/28/64,59
Connecticut,Richard Blumenthal,D,2/13/46,78
Connecticut,Christopher S. Murphy,D,8/3/73,50
Delaware,Thomas R. Carper,D,1/23/47,77
Delaware,Chris Coons,D,9/9/63,60
Florida,Rick Scott,R,12/1/52,71
Florida,Marco Rubio,R,5/28/71,52
Georgia,Raphael Warnock,D,7/23/69,54
Georgia,Jon Ossoff,D,2/16/87,37
Hawaii,Mazie K. Hirono,D,11/3/47,76
Hawaii,Brian Schatz,D,10/20/72,51
Idaho,Jim Risch,R,5/3/43,80
Idaho,Michael D. Crapo,R,5/20/51,72
Illinois,Richard J. Durbin,D,11/21/44,79
Illinois,Tammy Duckworth,D,3/12/68,56
Indiana,Mike Braun,R,3/24/54,70
Indiana,Todd Young,R,8/24/72,51
Iowa,Charles E. Grassley,R,9/17/33,90
Iowa,Joni Ernst,R,7/1/70,53
Kansas,Jerry Moran,R,5/29/54,69
Kansas,Roger Marshall,R,8/9/60,63
Kentucky,Mitch McConnell,R,2/20/42,82
Kentucky,Rand Paul,R,1/7/63,61
Louisiana,John Kennedy,R,11/21/51,72
Louisiana,Bill Cassidy,R,9/28/57,66
Maine,Angus King,I,3/31/44,79
Maine,Susan Collins,R,12/7/52,71
Maryland,Benjamin L. Cardin,D,10/5/43,80
Maryland,Chris Van Hollen,D,1/10/59,65
Massachusetts,Edward J. Markey,D,7/11/46,77
Massachusetts,Elizabeth Warren,D,6/22/49,74
Michigan,Debbie Stabenow,D,4/29/50,73
Michigan,Gary Peters,D,12/1/58,65
Minnesota,Tina Smith,D,3/4/58,66
Minnesota,Amy Klobuchar,D,5/25/60,63
Mississippi,Roger Wicker,R,7/5/51,72
Mississippi,Cindy Hyde-Smith,R,5/10/59,64
Missouri,Eric Schmitt,R,6/20/75,48
Missouri,Josh Hawley,R,12/31/79,44
Montana,Jon Tester,D,8/21/56,67
Montana,Steve Daines,R,8/20/62,61
Nebraska,Deb Fischer,R,3/1/51,73
Nebraska,Pete Ricketts,R,8/19/64,59
Nevada,Jacky Rosen,D,8/2/57,66
Nevada,Catherine Cortez Masto,D,3/29/64,59
New Hampshire,Jeanne Shaheen,D,1/28/47,77
New Hampshire,Maggie Hassan,D,2/27/58,66
New Jersey,Bob Menendez,D,1/1/54,70
New Jersey,Cory Booker,D,4/27/69,54
New Mexico,Martin Heinrich,D,10/17/71,52
New Mexico,Ben Ray Lujan,D,6/7/72,51
New York,Charles E. Schumer,D,11/23/50,73
New York,Kirsten Gillibrand,D,12/9/66,57
North Carolina,Thom Tillis,R,8/30/60,63
North Carolina,Ted Budd,R,10/21/71,52
North Dakota,John Hoeven,R,3/13/57,67
North Dakota,Kevin Cramer,R,1/21/61,63
Ohio,Sherrod Brown,D,11/9/52,71
Ohio,J.D. Vance,R,8/2/84,39
Oklahoma,James Lankford,R,3/4/68,56
Oklahoma,Markwayne Mullin,R,7/26/77,46
Oregon,Ron Wyden,D,5/3/49,74
Oregon,Jeff Merkley,D,10/24/56,67
Pennsylvania,Bob Casey,D,4/13/60,63
Pennsylvania,John Fetterman,D,8/15/69,54
Rhode Island,Jack Reed,D,11/12/49,74
Rhode Island,Sheldon Whitehouse,D,10/20/55,68
South Carolina,Lindsey Graham,R,7/9/55,68
South Carolina,Tim Scott,R,9/19/65,58
South Dakota,Mike Rounds,R,10/24/54,69
South Dakota,John Thune,R,1/7/61,63
Tennessee,Marsha Blackburn,R,6/6/52,71
Tennessee,Bill Hagerty,R,8/14/59,64
Texas,John Cornyn,R,2/2/52,72
Texas,Ted Cruz,R,12/22/70,53
Utah,Mitt Romney,R,3/12/47,77
Utah,Mike Lee,R,6/4/71,52
Vermont,Bernie Sanders,I,9/8/41,82
Vermont,Peter Welch,D,5/2/47,76
Virginia,Mark Warner,D,12/15/54,69
Virginia,Tim Kaine,D,2/26/58,66
Washington,Patty Murray,D,10/11/50,73
Washington,Maria Cantwell,D,10/13/58,65
West Virginia,Joe Manchin III,D,8/24/47,76
West Virginia,Shelley Moore Capito,R,11/26/53,70
Wisconsin,Ron Johnson,R,4/8/55,68
Wisconsin,Tammy Baldwin,D,2/11/62,62
Wyoming,John Barrasso,R,7/21/52,71
Wyoming,Cynthia Lummis,R,9/10/54,69